membership_id,employee_id,group_name,granted_date,approver
MBR00001,EMP0001,HR-Employee-Records-Read,2025-01-15,
MBR00002,EMP0002,FIN-Reporting-ReadOnly,2024-03-03,
MBR00003,EMP0002,FIN-Invoice-Entry,2026-02-17,
MBR00004,EMP0003,OPS-Workflow-Standard,2026-04-19,
MBR00005,EMP0004,SALES-Discount-Override,2025-03-18,EMP0035
MBR00006,EMP0005,FIN-Reporting-ReadOnly,2024-08-18,
MBR00007,EMP0005,FIN-Invoice-Entry,2024-02-07,
MBR00008,EMP0006,SALES-CRM-Standard,2025-12-05,
MBR00009,EMP0007,SALES-CRM-Standard,2024-12-06,
MBR00010,EMP0008,SALES-CRM-Standard,2026-03-04,
MBR00011,EMP0009,IT-Helpdesk-Standard,2023-08-03,
MBR00012,EMP0009,IT-Prod-Database-Write,2024-04-17,EMP0016
MBR00013,EMP0010,SALES-CRM-Standard,2023-06-07,
MBR00014,EMP0011,IT-Helpdesk-Standard,2026-01-05,
MBR00015,EMP0012,HR-Employee-Records-Read,2023-10-22,
MBR00016,EMP0013,SALES-CRM-Standard,2024-02-19,
MBR00017,EMP0014,SALES-CRM-Standard,2023-12-11,
MBR00018,EMP0015,IT-Helpdesk-Standard,2023-04-08,
MBR00019,EMP0016,SALES-Discount-Override,2023-02-13,EMP0064
MBR00020,EMP0016,SALES-CRM-Standard,2024-05-06,
MBR00021,EMP0017,HR-Employee-Records-Read,2024-10-30,
MBR00022,EMP0018,OPS-Workflow-Standard,2023-07-14,
MBR00023,EMP0018,OPS-Vendor-Onboard,2025-03-08,EMP0062
MBR00024,EMP0019,FIN-Reporting-ReadOnly,2026-06-06,
MBR00025,EMP0019,FIN-Invoice-Entry,2026-07-06,
MBR00026,EMP0020,IT-Helpdesk-Standard,2025-07-24,
MBR00027,EMP0020,IT-Prod-Database-Write,2023-02-17,EMP0045
MBR00028,EMP0020,IT-Server-Admin,2025-10-04,EMP0041
MBR00029,EMP0021,OPS-Workflow-Standard,2024-04-23,
MBR00030,EMP0022,FIN-Invoice-Entry,2023-01-29,
MBR00031,EMP0022,FIN-Reporting-ReadOnly,2025-03-24,
MBR00032,EMP0023,SALES-CRM-Standard,2024-12-04,
MBR00033,EMP0024,IT-Helpdesk-Standard,2023-06-18,
MBR00034,EMP0025,HR-Employee-Records-Read,2026-04-15,
MBR00035,EMP0026,IT-Helpdesk-Standard,2025-12-15,
MBR00036,EMP0027,OPS-Vendor-Onboard,2022-12-16,EMP0019
MBR00037,EMP0027,OPS-Workflow-Standard,2025-05-04,
MBR00038,EMP0028,FIN-Invoice-Entry,2025-02-18,
MBR00039,EMP0029,SALES-CRM-Standard,2023-05-31,
MBR00040,EMP0030,SALES-CRM-Standard,2026-02-09,
MBR00041,EMP0030,SALES-Discount-Override,2024-12-12,EMP0049
MBR00042,EMP0031,OPS-Workflow-Standard,2023-09-04,
MBR00043,EMP0033,FIN-Invoice-Entry,2023-03-05,
MBR00044,EMP0033,FIN-Reporting-ReadOnly,2024-02-13,
MBR00045,EMP0034,SALES-CRM-Standard,2026-03-05,
MBR00046,EMP0036,OPS-Workflow-Standard,2026-01-05,
